u_id,name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,item_link,created_at
9RUTY247,SAMSUNG Galaxy Tab S7+ 6 GB RAM 128 GB ROM 12.4 inch with Wi-Fi+4G Tablet (Mystic Bronze),73999,84999,12% off,842,97,4.7,"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '31.5 cm (12.4 inch) Quad HD Display', '13 MP Primary Camera | 8 MP Front', 'Android 10 | Battery: 10090 mAh', 'Voice Call (Single Sim, LTE)', 'Processor: Qualcomm Snapdragon 865 Plus', '1 Year Warranty Provided by the Manufacturer from Date of Purchase']",https://www.flipkart.com/samsung-galaxy-tab-s7-6-gb-ram-128-rom-12-4-inch-wi-fi-4g-tablet-mystic-bronze/p/itm3ef66bb4bff14?pid=TABFUGY96BGQ99VB&lid=LSTTABFUGY96BGQ99VBEKTM31&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_31_738&otracker=search&otracker1=search&fm=organic&iid=3e9f4f3f-c3ec-421e-a8f4-1c5af5d56f99.TABFUGY96BGQ99VB.SEARCH&ppt=None&ppn=None&ssid=bbii25mu2o0000001667495266468&qH=c4e0ba5422383082,2022-11-03 22:37:45.771272+05:30
UNCS1INE,APPLE iPad 128 GB ROM 9.7 inch with Wi-Fi+4G (Silver),46300,46300,0,12045,1670,4.6,"['9.7 Retina display for stunning detail', '128 GB ROM', '24.64 cm (9.7 inch) Full HD Display', '8 MP Primary Camera | 1.2 MP Front', ""iOS 10 World's Most Advanced OS | Battery: Lithium Polymer Upto 10 hours of Multimedia Usage"", 'Ideal Usage: Entertainment', 'Processor: A9 Chip with 64-bit Architecture with Embedded M9 Co-processor', '1 Year on Tablet, 6 Months on Accessories']",https://www.flipkart.com/apple-ipad-128-gb-rom-9-7-inch-wi-fi-4g-silver/p/itmespzmznahsztv?pid=TABESPZMRDUVEEMG&lid=LSTTABESPZMRDUVEEMGANOR59&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_31_739&otracker=search&otracker1=search&fm=organic&iid=3e9f4f3f-c3ec-421e-a8f4-1c5af5d56f99.TABESPZMRDUVEEMG.SEARCH&ppt=None&ppn=None&ssid=bbii25mu2o0000001667495266468&qH=c4e0ba5422383082,2022-11-03 22:37:45.974847+05:30
A3CT4YOY,Lenovo Yoga A12 4 GB RAM 64 GB ROM 12.2 inch with Wi-Fi+4G Tablet (Gunmetal Grey),29990,29990,0,341,76,4.1,"['4 GB RAM | 64 GB ROM | Expandable Upto 128 GB', '30.99 cm (12.2 inch) HD Display', 'Android 6.0.1 (Marshmallow) | Battery: 10500 mAh Li-ion Polymer Upto 13 hours of usage', 'Processor: Intel Atom x5-Z8550 Quad Core Processor', '1 Year on Tablet, 6 Months on Accessories']",https://www.flipkart.com/lenovo-yoga-a12-4-gb-ram-64-rom-12-2-inch-wi-fi-4g-tablet-gunmetal-grey/p/itmet4ns5wmrqvxe?pid=TABET4NRBK8P7SFP&lid=LSTTABET4NRBK8P7SFPBNCTXR&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_31_740&otracker=search&otracker1=search&fm=organic&iid=3e9f4f3f-c3ec-421e-a8f4-1c5af5d56f99.TABET4NRBK8P7SFP.SEARCH&ppt=None&ppn=None&ssid=bbii25mu2o0000001667495266468&qH=c4e0ba5422383082,2022-11-03 22:37:46.769048+05:30
HGMTHUY2,Lenovo Tab 4 8 2 GB RAM 16 GB ROM 8 inch with Wi-Fi+4G Tablet (Slate Black),13344,16000,16% off,3073,373,4.3,"['Dolby Atmos helps to turn the Tab 4 8 into a mobile entertainment hub', 'Wide-angle display results in a great visual experience', 'Multiple users can have their own account with individual passwords, settings, and social meda accounts', '2 GB RAM | 16 GB ROM | Expandable Upto 128 GB', '20.32 cm (8 inch) HD Display', '5 MP Primary Camera | 2 MP Front', 'Android 7.0 (Nougat) | Battery: 4850 mAh Lithium Ion', 'Ideal Usage: Reading and Browsing', 'Voice Call (Dual Sim, LTE, GSM)', 'Processor: Qualcomm Snapdragon MSM8917 Quad Core 64-bit Processor', '1 Year on Tablet, 6 Months on Accessories']",https://www.flipkart.com/lenovo-tab-4-8-2-gb-ram-16-rom-inch-wi-fi-4g-tablet-slate-black/p/itmewgueeha2hfhm?pid=TABEWGUENYSZFXFY&lid=LSTTABEWGUENYSZFXFYVRPZV9&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_31_741&otracker=search&otracker1=search&fm=organic&iid=3e9f4f3f-c3ec-421e-a8f4-1c5af5d56f99.TABEWGUENYSZFXFY.SEARCH&ppt=None&ppn=None&ssid=bbii25mu2o0000001667495266468&qH=c4e0ba5422383082,2022-11-03 22:37:47.500887+05:30
0EIDE1Y6,iball Slide Wings 4GP 2 GB RAM 16 GB ROM 8 inch with Wi-Fi+4G Tablet (Silver Chrome),8499,10999,22% off,439,72,3.9,"['2 GB RAM | 16 GB ROM | Expandable Upto 32 GB', '20.32 cm (8 inch) HD Display', '5 MP Primary Camera', 'Android v6.0 (Marshmallow) | Battery:', 'Ideal Usage: Reading and Browsing', 'Voice Call (Dual Sim)', '1 Year Manufacturer warranty']",https://www.flipkart.com/iball-slide-wings-4gp-2-gb-ram-16-rom-8-inch-wi-fi-4g-tablet-silver-chrome/p/itmet4p7znhq3gyz?pid=TABET4ZWPBNKGGQB&lid=LSTTABET4ZWPBNKGGQB1F77X2&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_31_742&otracker=search&otracker1=search&fm=organic&iid=3e9f4f3f-c3ec-421e-a8f4-1c5af5d56f99.TABET4ZWPBNKGGQB.SEARCH&ppt=None&ppn=None&ssid=bbii25mu2o0000001667495266468&qH=c4e0ba5422383082,2022-11-03 22:37:48.102238+05:30
IQIOCXME,Honor MediaPad T3 10 2 GB RAM 16 GB ROM 9.6 inch with Wi-Fi+4G Tablet (Luxurious Gold),11999,15999,25% off,13320,1663,4.2,"['Single-piece anodized aluminium body', 'Blue-light filter and low-light display modes to help your eyes', '2 GB RAM | 16 GB ROM | Expandable Upto 128 GB', '24.38 cm (9.6 inch) HD Display', '5 MP Primary Camera | 2 MP Front', 'Android 7.0 (Nougat) | Battery: 4800 mAh Li-ion Polymer', 'Ideal Usage: Entertainment, Business', 'Voice Call (Single Sim, LTE)', 'Processor: Qualcomm MSM8917 Quad Core Processor', '1 Year on Tablet, 6 Months on Accessories']",https://www.flipkart.com/honor-mediapad-t3-10-2-gb-ram-16-rom-9-6-inch-wi-fi-4g-tablet-luxurious-gold/p/itmev6zvck8frnyr?pid=TABEV4TBZXDVJGTU&lid=LSTTABEV4TBZXDVJGTU0BL7MB&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_31_743&otracker=search&otracker1=search&fm=organic&iid=3e9f4f3f-c3ec-421e-a8f4-1c5af5d56f99.TABEV4TBZXDVJGTU.SEARCH&ppt=None&ppn=None&ssid=bbii25mu2o0000001667495266468&qH=c4e0ba5422383082,2022-11-03 22:37:48.405007+05:30
DR948WQT,Samsung Galaxy Tab E,16700,16700,0,749,83,4.3,"['1.5 GB RAM | 8 GB ROM | Expandable Upto 128 GB', '24.38 cm (9.6 inch) HD Display', '5 MP Primary Camera | 2 MP Front', 'Android 4.4 (KitKat) | Battery: 5000 mAh', 'Voice Call (Single Sim)', 'Processor: Quad Core']",https://www.flipkart.com/samsung-galaxy-tab-e/p/itme7uzgqkdhugnt?pid=TABE7UY7RBFZ7HP5&lid=LSTTABE7UY7RBFZ7HP5CMAVLW&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_31_744&otracker=search&otracker1=search&fm=organic&iid=3e9f4f3f-c3ec-421e-a8f4-1c5af5d56f99.TABE7UY7RBFZ7HP5.SEARCH&ppt=None&ppn=None&ssid=bbii25mu2o0000001667495266468&qH=c4e0ba5422383082,2022-11-03 22:37:48.707003+05:30
D1YXYGTC,Honor MediaPad T3 10 3 GB RAM 32 GB ROM 9.6 inch with Wi-Fi+4G Tablet (Luxurious Gold),14041,17999,21% off,13320,1663,4.2,"['Single-piece anodized aluminium body', 'Blue-light filter and low-light display modes to help your eyes', '3 GB RAM | 32 GB ROM | Expandable Upto 128 GB', '24.38 cm (9.6 inch) HD Display', '5 MP Primary Camera | 2 MP Front', 'Android 7.0 (Nougat) | Battery: 4800 mAh Li-ion Polymer', 'Ideal Usage: Entertainment, Business', 'Voice Call (Single Sim, LTE)', 'Processor: Qualcomm MSM8917 Quad Core Processor', '1 Year on Tablet, 6 Months on Accessories']",https://www.flipkart.com/honor-mediapad-t3-10-3-gb-ram-32-rom-9-6-inch-wi-fi-4g-tablet-luxurious-gold/p/itmewzg8r4g4vftg?pid=TABEWZG8QCZU9AN8&lid=LSTTABEWZG8QCZU9AN8K0UD0Y&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_32_745&otracker=search&otracker1=search&fm=organic&iid=53a7f158-f6c9-469e-a5d0-90c515065c50.TABEWZG8QCZU9AN8.SEARCH&ppt=None&ppn=None&ssid=kyuyn2n6ts0000001667495279344&qH=c4e0ba5422383082,2022-11-03 22:37:49.543447+05:30
D514EHYI,SAMSUNG Galaxy Tab A 10.0 2GB RAM 32 GB ROM 10 inch with Wi-Fi+4G Tablet (Silver),19999,21500,6% off,972,103,4.4,"['2GB RAM | 32 GB ROM', '25.4 cm (10 inch) Display', '8 Megapixels MP Primary Camera', 'Android Android | 9.0 | Battery:', 'Voice Call (Single Sim)', '1 year manufacturer warranty for Tablet and 6 months warranty for in the box accessories']",https://www.flipkart.com/samsung-galaxy-tab-10-0-2gb-ram-32-gb-rom-10-inch-wi-fi-4g-tablet-silver/p/itm7e1a71d00f9fb?pid=TABFHKR43JCEB9W9&lid=LSTTABFHKR43JCEB9W9CC0KBX&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_32_746&otracker=search&otracker1=search&fm=organic&iid=53a7f158-f6c9-469e-a5d0-90c515065c50.TABFHKR43JCEB9W9.SEARCH&ppt=None&ppn=None&ssid=kyuyn2n6ts0000001667495279344&qH=c4e0ba5422383082,2022-11-03 22:37:50.234996+05:30
SIGFO3JQ,Honor MediaPad T3 2 GB RAM 16 GB ROM 8 inch with Wi-Fi+4G Tablet (Luxurious Gold),9999,13999,28% off,6607,807,4.2,"['Single-piece anodized aluminium body', 'Blue-light filter and low-light display modes to help your eyes', '2 GB RAM | 16 GB ROM | Expandable Upto 128 GB', '20.32 cm (8 inch) HD Display', '5 MP Primary Camera | 2 MP Front', 'Android 7.0 (Nougat) | Battery: 4800 mAh Li-ion Polymer', 'Ideal Usage: Business, Reading and Browsing', 'Voice Call (Single Sim, LTE)', 'Processor: Qualcomm MSM8917 Quad Core Processor', '1 Year on Tablet, 6 Months on Accessories']",https://www.flipkart.com/honor-mediapad-t3-2-gb-ram-16-rom-8-inch-wi-fi-4g-tablet-luxurious-gold/p/itmev6zv5ahhahpd?pid=TABEWZG8KB6B7Q7W&lid=LSTTABEWZG8KB6B7Q7WIQ2KHK&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_32_747&otracker=search&otracker1=search&fm=organic&iid=53a7f158-f6c9-469e-a5d0-90c515065c50.TABEWZG8KB6B7Q7W.SEARCH&ppt=None&ppn=None&ssid=kyuyn2n6ts0000001667495279344&qH=c4e0ba5422383082,2022-11-03 22:37:50.903998+05:30
X8JQD7M1,Wishtel IRA Z PAD 4G 2 GB RAM 32 GB ROM 10 inch with Wi-Fi+4G Tablet (Silver),10375,12999,20% off,4,0,3.8,"['2 GB RAM | 32 GB ROM', '25.4 cm (10 inch) Display', '5 MP Primary Camera', 'Android 10 | Battery:', 'Voice Call (Dual Sim)', '1 Year']",https://www.flipkart.com/wishtel-ira-z-pad-4g-2-gb-ram-32-rom-10-inch-wi-fi-4g-tablet-silver/p/itm8fa1bb2dc6369?pid=TABG69KMHTZK3H8P&lid=LSTTABG69KMHTZK3H8PJIU8WP&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_32_748&otracker=search&otracker1=search&fm=organic&iid=53a7f158-f6c9-469e-a5d0-90c515065c50.TABG69KMHTZK3H8P.SEARCH&ppt=None&ppn=None&ssid=kyuyn2n6ts0000001667495279344&qH=c4e0ba5422383082,2022-11-03 22:37:51.469430+05:30
ISBGRF0V,LAVA Magnum X1 2 GB RAM 16 GB ROM 6.98 inch with Wi-Fi+4G Tablet (White),7999,11500,30% off,267,43,3.5,"['2 GB RAM | 16 GB ROM | Expandable Upto 64 GB', '17.73 cm (6.98 inch) HD Display', '8 MP Primary Camera | 2 MP Front', 'Android v6.0 (Marshmallow) | Battery: 2850 mAh', 'Voice Call (Dual Sim, GSM, 4G VOLTE)', 'Processor: Quad Core Snapdragon', '1 Year Warranty']",https://www.flipkart.com/lava-magnum-x1-2-gb-ram-16-rom-6-98-inch-wi-fi-4g-tablet-white/p/itmeyygrkd2phdfz?pid=TABEYYGRSAHQJBVY&lid=LSTTABEYYGRSAHQJBVYPLIRTC&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_32_749&otracker=search&otracker1=search&fm=organic&iid=53a7f158-f6c9-469e-a5d0-90c515065c50.TABEYYGRSAHQJBVY.SEARCH&ppt=None&ppn=None&ssid=kyuyn2n6ts0000001667495279344&qH=c4e0ba5422383082,2022-11-03 22:37:52.218811+05:30
T1NXVBRC,LAVA Magnum X1 2 GB RAM 16 GB ROM 6.98 inch with Wi-Fi+4G Tablet (Dark Blue),7999,11500,30% off,267,43,3.5,"['2 GB RAM | 16 GB ROM | Expandable Upto 64 GB', '17.73 cm (6.98 inch) HD Display', '8 MP Primary Camera | 2 MP Front', 'Android v6.0 (Marshmallow) | Battery: 2850 mAh', 'Voice Call (Dual Sim, GSM, 4G VOLTE)', 'Processor: Quad Core Snapdragon', '1 Year Warranty']",https://www.flipkart.com/lava-magnum-x1-2-gb-ram-16-rom-6-98-inch-wi-fi-4g-tablet-dark-blue/p/itmeyygrkd2phdfz?pid=TABEYYGRAY5FQHSZ&lid=LSTTABEYYGRAY5FQHSZAF8MJG&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_32_750&otracker=search&otracker1=search&fm=organic&iid=53a7f158-f6c9-469e-a5d0-90c515065c50.TABEYYGRAY5FQHSZ.SEARCH&ppt=None&ppn=None&ssid=kyuyn2n6ts0000001667495279344&qH=c4e0ba5422383082,2022-11-03 22:37:54.477911+05:30
